CLAVE,Cuenta
22017,19
11005,4
22014,267
22008,14
22011,67
15003,4
22006,48
22004,19
22009,12
22016,73
11006,1
22001,26
22002,11
22010,5
22005,22
04002,1
22012,15
22018,10
11040,2
22007,12
15106,1
13059,3
13041,1
11017,1
09007,1
22015,2
11007,2
15042,1
24028,1
13029,4
11033,4
01001,2
14016,1
22003,4
11032,4
02002,1
11002,1
20143,1
15051,1
22013,2
99999,8
09017,1
15020,1
09016,1
11004,2
16017,1
11045,1
11003,1
32051,1
21213,1
12001,1
21132,1
27002,1
15060,1
30144,1
15085,1
